Entry,pdb_id,chain,domain,species_collapsed,species,protein_family,broad_function,resolution_A,resolved_len,seqres_len,sequence_length,mw_per_residue,isoelectric_point,charge_at_ph7,acidic_residue_fraction,basic_residue_fraction,gravy,aromaticity,instability_index,proline_fraction,small_residue_fraction,ordered_percent,helix_sheet_contrast,rco,avg_cb_distance,surface_exposure,caliby_score,carp_640M_score,proteinmpnn_score,solublempnn_score,AlkalineMPNN_score,AcidophileMPNN_score,ESM2_15B_pppl_score,esm3_struct_cond_score,esm3_seq_only_score,esmif_score,mif_score,mifst_score,progen2_XL_score,protgpt2_score,soluble_caliby_score,triflow_score
1X23_1,1X23,A,Eukaryota,Homo sapiens,Homo sapiens,Ubiquitin-conjugating enzyme family,transferase,1.85,153,155,153,113.18734967320252,6.993605995178222,-0.0073548154580187,0.1045751633986928,0.1241830065359477,-0.3339869281045751,0.1045751633986928,45.55555555555555,0.1045751633986928,0.2352941176470588,0.8954248366013072,-0.0326797385620915,0.1715457424799985,15.318346977233888,0.3006535947712418,1.856608,-0.2373243123292923,-1.5033469200134275,-1.5124146938323977,-1.5257866382598877,-1.508190035820007,-1.034937024116516,-0.592427,-0.511775,-0.7910969054776859,,,-0.4543197232913347,-1.9965786404079864,1.856608,-1.785349
3UNS_1,3UNS,A,Eukaryota,Bos taurus,Bos taurus,Peptidase S1 family,hydrolase,1.8,223,223,223,104.8931721973094,8.566768455505372,4.89959314949404,0.0493273542600896,0.085201793721973,-0.0210762331838565,0.085201793721973,25.29645739910313,0.0313901345291479,0.3766816143497758,0.9103139013452914,-0.6143497757847534,0.2245123993732778,15.408708572387695,0.3004484304932735,2.260773,-0.7808976769447327,-1.195798635482788,-1.2606669664382937,-1.190529465675354,-1.1690282821655271,-0.8371843695640564,-0.852841,-0.975156,-0.7386577246969591,,,-0.9208488293292812,-2.1408672247232343,2.260773,
7DBU_1,7DBU,A,Eukaryota,Ramazzottius varieornatus,Ramazzottius varieornatus,Unclassified,other,1.6,161,173,161,108.66750931677016,4.863905906677245,-4.232581769630325,0.1304347826086956,0.1055900621118012,-0.2298136645962732,0.0745341614906832,59.79627329192546,0.0496894409937888,0.3291925465838509,0.8757763975155279,-0.68944099378882,0.3167560378613167,15.58621311187744,0.2981366459627329,1.886263,-2.6687893867492676,-1.4736229181289673,-1.486371994018555,-1.3143134117126465,-1.3152282238006592,-1.281724452972412,-1.488971,-2.545075,-1.1017928034622475,-1.4313026666641235,-1.5227047204971311,-3.0443308575553183,-3.5199967852290373,1.886263,-1.58788
5UY6_1,5UY6,A,Eukaryota,Homo sapiens,Homo sapiens,Protein kinase superfamily,transferase,1.7,282,291,282,114.01719007092204,6.007108497619628,-3.928620980914338,0.1347517730496454,0.1453900709219858,-0.290425531914894,0.0886524822695035,30.734432624113467,0.0709219858156028,0.1843971631205673,0.9184397163120568,-0.0886524822695035,0.1183607812182316,18.69355583190918,0.301418439716312,2.063984,-0.5483574271202087,-1.4415233135223389,-1.434485912322998,-1.2780474424362185,-1.3085575103759766,-0.9649054408073424,-1.259596,-1.485924,-1.0271671376329787,,,-0.2841526058548731,-1.6666608228751107,2.063984,-1.231644
7Z3H_1,7Z3H,A,Eukaryota,Thermochaetoides thermophila,Thermochaetoides thermophila,GcvT family,other,2.4,372,432,372,109.39043064516127,6.849632835388183,-0.3287190182286323,0.1182795698924731,0.1370967741935483,-0.1596774193548387,0.0672043010752688,35.0983870967742,0.0618279569892473,0.2688172043010753,0.9005376344086022,-0.271505376344086,0.1586700622524052,20.1181583404541,0.3010752688172043,1.714517,-1.9268457889556885,-1.605743408203125,-1.6727564334869385,-1.458844780921936,-1.482048749923706,-1.526894211769104,-1.456541,-1.807307,-1.139273202547463,,,-2.2202136952389955,-2.7767356954595095,1.714517,-1.286346
3RRW_1,3RRW,A,Eukaryota,Arabidopsis thaliana,Arabidopsis thaliana,Peroxidase family,oxidoreductase,2.5,255,268,255,109.46751882352932,6.642227363586426,-0.2244456460192019,0.1176470588235294,0.1176470588235294,-0.3698039215686276,0.0823529411764705,39.33803921568628,0.0392156862745098,0.3254901960784314,0.8941176470588235,0.5490196078431373,0.1950306840293369,17.05701446533203,0.3019607843137254,1.848127,-2.1105709075927734,-1.5886965990066528,-1.584694743156433,-1.5179163217544556,-1.5077471733093262,-0.6453035473823547,-1.686011,-2.315738,-1.2348679486443015,-1.3197777271270752,-1.392303228378296,-0.9915971344592523,-3.0967550838694855,1.848127,-2.241834
3LPY_1,3LPY,A,Eukaryota,Homo sapiens,Homo sapiens,Cyclophilin-type PPIase family,isomerase,2.0,79,79,79,111.56684303797462,4.398849296569825,-9.33740068453043,0.2025316455696202,0.1139240506329113,-0.0265822784810126,0.1012658227848101,23.99367088607595,0.0253164556962025,0.2531645569620253,0.9113924050632912,-0.0253164556962025,0.3741827792460704,11.395600318908691,0.3037974683544304,2.037626,-0.3853400647640228,-1.50308096408844,-1.5380101203918457,-1.4673017263412476,-1.5352693796157837,-1.0012449026107788,-1.261183,-1.450713,-1.2208874859387362,-1.5489214658737185,-0.3764359652996063,-0.6342926991136768,-3.033467739443236,2.037626,-1.57191
1PBK_1,1PBK,A,Eukaryota,Homo sapiens,Homo sapiens,FKBP-type PPIase family,isomerase,2.5,116,116,116,111.52402931034476,9.477900123596193,7.044625265895441,0.1293103448275862,0.1982758620689655,-0.6862068965517245,0.0862068965517241,12.847413793103447,0.0603448275862068,0.2586206896551724,0.8620689655172413,-0.5517241379310345,0.3424126698865551,13.420571327209473,0.3017241379310345,1.951447,-0.646101176738739,-1.4995932579040527,-1.481188416481018,-1.4675774574279783,-1.4416706562042236,-0.5515627264976501,-1.159777,-1.204403,-1.4882612557246768,-1.3711153268814087,-0.5543206334114075,-0.4155732845437938,-2.474942700616245,1.951447,-2.290457
1A2B_1,1A2B,A,Eukaryota,Homo sapiens,Homo sapiens,Small GTPase superfamily,GTPase,2.4,178,182,178,113.53914101123586,4.987246513366698,-7.072357172108571,0.1741573033707865,0.146067415730337,-0.3589887640449438,0.0786516853932584,51.683146067415734,0.0617977528089887,0.196629213483146,0.8932584269662921,-0.0842696629213483,0.2020219087043451,14.890691757202148,0.3033707865168539,1.843968,-0.1201434955000877,-1.568913459777832,-1.6289057731628418,-1.6438442468643188,-1.6582187414169312,-0.2904343008995056,-0.784356,-0.80825,-0.7432855327477615,-1.4580379724502563,-0.1034739390015602,-0.2678096214037263,-1.922300874517205,1.843968,-1.635021
6I9S_1,6I9S,A,Eukaryota,Homo sapiens,Homo sapiens,Immunoglobulin superfamily,membrane,2.48,187,208,187,113.850085026738,5.426100349426269,-3.145470845586459,0.1764705882352941,0.1657754010695186,-0.6818181818181815,0.0588235294117647,36.80106951871656,0.0641711229946524,0.2299465240641711,0.9732620320855616,-0.7593582887700535,0.1797815219403813,24.405784606933594,0.2994652406417112,2.01515,-0.5198999643325806,-1.5163737535476685,-1.5713592767715454,-1.529902696609497,-1.5748679637908936,-0.7005688548088074,-1.445558,-1.622589,-1.3868982651654411,-1.515721559524536,-0.4899512827396393,-0.3244853300206801,-2.6839855826474768,2.01515,-2.07968
1QDE_1,1QDE,A,Eukaryota,Saccharomyces cerevisiae,Saccharomyces cerevisiae,DEAD box helicase family,translation_factor,2.0,201,224,201,112.51794477611944,6.358032417297363,-0.9597083119818884,0.1144278606965174,0.1243781094527363,0.0303482587064677,0.0746268656716417,40.97412935323383,0.044776119402985,0.2388059701492537,0.8756218905472637,0.0895522388059701,0.2233161921485011,15.038765907287598,0.2985074626865671,2.052462,-1.2488473653793335,-1.4375009536743164,-1.4434316158294678,-1.4475756883621216,-1.4747942686080933,-1.3856323957443235,-1.065374,-1.207159,,,,-1.1917144623561875,-2.241860157221704,2.052462,-2.022534
6LBK_1,6LBK,A,Eukaryota,Rattus norvegicus,Rattus norvegicus,DNA polymerase type-B-like family,transferase,2.4956881144,325,380,325,115.31999353846174,9.343612480163577,12.235544945002196,0.1015384615384615,0.1692307692307692,-0.2972307692307693,0.0861538461538461,47.34584615384614,0.0492307692307692,0.2092307692307692,0.8892307692307692,0.2369230769230769,0.1306871514258655,18.9847354888916,0.3015384615384615,1.703664,-1.3834985494613647,-1.600070238113403,-1.6532598733901978,-1.558098554611206,-1.575376033782959,-0.4649920165538788,-1.437904,-1.630533,-1.2476007549579329,,,-0.6750368088942308,-2.561521183894231,1.703664,-1.536439
4F1M_1,4F1M,A,Eukaryota,Dictyostelium discoideum,Dictyostelium discoideum,Protein kinase superfamily,transferase,2.04,278,287,278,114.28887194244604,5.812946510314942,-5.526378426292851,0.1366906474820143,0.1438848920863309,-0.298201438848921,0.0899280575539568,52.68021582733811,0.0647482014388489,0.2014388489208632,0.8884892086330936,-0.1043165467625899,0.1172125508669239,18.251779556274418,0.302158273381295,1.948192,-1.7812930345535278,-1.5742846727371216,-1.5927587747573853,-1.537476658821106,-1.5347628593444824,-1.3023804426193235,-1.515422,-1.7368,-1.2068493520613195,-1.3733140230178833,-1.3910750150680542,-1.9744065099482917,-2.607106599876349,1.948192,-1.294757
3BS9_1,3BS9,A,Eukaryota,Homo sapiens,Homo sapiens,Pfam:PF00076,RNA-binding,1.95,79,87,79,109.47690506329111,9.39969997406006,1.9395189538092668,0.0759493670886076,0.1265822784810126,-0.110126582278481,0.1392405063291139,25.827848101265825,0.0253164556962025,0.3670886075949367,0.9493670886075948,-0.240506329113924,0.3828043784015165,11.168257713317873,0.3037974683544304,1.943279,-0.7377971410751343,-1.7119648456573486,-1.6098134517669678,-1.597454071044922,-1.5250051021575928,-0.9761000871658324,-1.324124,-1.445226,-1.2331697488132911,-1.522484540939331,-0.6928874850273132,-0.7000393444978739,-2.673566214645965,1.943279,-1.757317
3CQT_1,3CQT,A,Eukaryota,Gallus gallus,Gallus gallus,Protein kinase superfamily,transferase,1.6,58,79,58,114.64075689655172,4.247714424133301,-7.434537080749973,0.1896551724137931,0.0862068965517241,-0.5086206896551725,0.1551724137931034,41.88275862068965,0.0344827586206896,0.3275862068965517,0.896551724137931,-0.896551724137931,0.3485869847031371,9.729511260986328,0.3103448275862069,2.236893,-1.1086113452911377,-1.375240445137024,-1.3391331434249878,-1.1235190629959106,-1.255620360374451,-1.4824939966201782,-1.10721,-1.336996,-1.194872231319033,-1.234729290008545,-0.8651991486549377,-1.2879159861597522,-2.3695415628367456,2.236893,-1.30898
5T9P_1,5T9P,A,Eukaryota,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Pfam:PF00076,RNA-binding,2.0,97,111,97,117.75451649484528,9.76343059539795,8.188398109027478,0.1030927835051546,0.2268041237113402,-0.5350515463917527,0.1237113402061855,37.21649484536082,0.0206185567010309,0.1855670103092783,0.9175257731958764,-0.1958762886597938,0.3346298031865042,12.096324920654297,0.2989690721649484,1.85759,-1.4967970848083496,-1.4921225309371948,-1.4691903591156006,-1.4082059860229492,-1.4348918199539185,-1.6171382665634155,-1.401462,-1.683172,-1.270709480206991,-1.4101482629776,-1.126381516456604,-1.105179855503987,-3.0491927628664626,1.85759,-2.350768
8JSC_1,8JSC,C,Eukaryota,Homo sapiens,Homo sapiens,FAD-dependent oxidoreductase family,oxidoreductase,2.16,363,372,363,108.99221597796162,9.267991065979004,7.514654157398418,0.0881542699724518,0.1294765840220385,0.0267217630853994,0.071625344352617,39.08460055096418,0.0330578512396694,0.2947658402203856,0.9035812672176308,-0.1597796143250689,0.1563875471942839,19.9517765045166,0.3002754820936639,1.984183,-1.1441749334335327,-1.3903439044952393,-1.4442391395568848,-1.349981665611267,-1.3068777322769165,-0.1897523552179336,-1.258453,-1.631604,-1.011126305446152,-1.283237099647522,-0.8455284237861633,-0.3742930935105673,-2.6691282498278235,1.984183,-1.352982
3R1N_1,3R1N,A,Eukaryota,Homo sapiens,Homo sapiens,Protein kinase superfamily,transferase,2.09,274,317,274,115.37539233576668,5.749173164367675,-8.132487219284243,0.1496350364963503,0.1605839416058394,-0.4525547445255479,0.0875912408759124,44.61171532846712,0.0474452554744525,0.2116788321167882,0.8868613138686131,0.1861313868613138,0.1436533662927637,18.263423919677734,0.2992700729927007,1.794009,-1.2971761226654053,-1.58323073387146,-1.6341713666915894,-1.5475285053253174,-1.5840853452682495,-0.6276464462280273,-1.478557,-1.702496,-1.2139855823377623,,,-0.9463251489792428,-2.1512404393105613,1.794009,-1.582545
2D7I_1,2D7I,A,Eukaryota,Homo sapiens,Homo sapiens,Glycosyltransferase 2 family,transferase,2.5,536,570,536,115.42497723880614,8.304575538635255,5.106900346177795,0.1287313432835821,0.166044776119403,-0.5641791044776118,0.1082089552238806,39.87222014925374,0.0652985074626865,0.2257462686567164,0.8787313432835822,-0.2705223880597014,0.0972309056393584,24.95827293395996,0.3003731343283582,1.780871,-0.5364151000976562,-1.6449090242385864,-1.6515662670135498,-1.6562395095825195,-1.6430422067642212,-1.2959855794906616,-1.213413,-1.455313,-1.3568110679512593,-1.5102912187576294,-0.5191615223884583,-0.1560804310129649,-1.9076424214377332,1.780871,-1.543773
2E7P_1,2E7P,A,Eukaryota,Populus tremula x Populus tremuloides,Populus tremula x Populus tremuloides,Glutaredoxin family,other,2.1,107,116,107,107.36427102803732,7.68067569732666,0.615240430280215,0.102803738317757,0.1308411214953271,-0.1644859813084111,0.0560747663551401,33.70280373831776,0.02803738317757,0.308411214953271,0.9252336448598132,0.4018691588785046,0.2283980980488604,12.792278289794922,0.2990654205607476,1.984451,-1.3685654401779177,-1.4642422199249268,-1.4543436765670776,-1.404934287071228,-1.4137181043624878,-1.0810377597808838,-1.003414,-1.162293,-1.0744007859274605,-1.535922884941101,-1.1016491651535034,-1.434915560428227,-2.8458759628723715,1.984451,-1.893644
1EWM_1,1EWM,A,Eukaryota,Trypanosoma cruzi,Trypanosoma cruzi,Peptidase C1 family,hydrolase,2.0,215,215,215,105.59536325581396,4.373612785339356,-13.900031737497326,0.1023255813953488,0.055813953488372,-0.0255813953488372,0.0883720930232558,28.981860465116274,0.0372093023255813,0.3767441860465116,0.8651162790697675,-0.3069767441860465,0.2319864019160936,15.532617568969728,0.3023255813953488,,-1.033968806266785,-1.3950097560882568,-1.468253493309021,-1.3236411809921265,-1.3202825784683228,-1.0102510452270508,-0.968766,-1.083412,-0.8906918547874273,,,-0.7204230729923692,-2.1079533066860465,,
5K6D_1,5K6D,A,Eukaryota,Xenopsylla cheopis,Xenopsylla cheopis,Unclassified,other,1.139,77,78,77,104.80488441558444,8.819677925109865,4.856402007579083,0.1168831168831168,0.2077922077922078,-1.0389610389610386,0.0389610389610389,29.54025974025974,0.0129870129870129,0.3506493506493506,0.9090909090909092,-0.4155844155844156,0.2594975118339604,10.935335159301758,0.2987012987012987,1.993053,-2.854896545410156,-1.400759220123291,-1.3369649648666382,-1.2400574684143066,-1.2690527439117432,-2.649827003479004,-1.355967,-2.828139,-1.0876270640980117,-1.369926691055298,-1.3677417039871216,-3.0079674658837257,-3.9400028377384335,1.993053,-1.249812
2B9E_1,2B9E,A,Eukaryota,Homo sapiens,Homo sapiens,Class I-like SAM-binding methyltransferase superfamily,transferase,1.65,275,309,275,110.012334909091,6.468925285339354,-2.254205560275903,0.1054545454545454,0.1381818181818181,-0.0352727272727271,0.0763636363636363,50.62981818181818,0.0727272727272727,0.2727272727272727,0.8654545454545455,-0.1745454545454545,0.1322399790411317,17.6702938079834,0.3018181818181818,2.077488,-1.115559458732605,-1.3585655689239502,-1.4283924102783203,-1.2835901975631714,-1.2652997970581057,-1.3032904863357544,-1.073961,-1.224896,-0.8056669477982955,,,-0.7907915150035512,-2.7555548650568182,2.077488,-1.16262
1D0Z_1,1D0Z,A,Eukaryota,Dictyostelium discoideum,Dictyostelium discoideum,TRAFAC class myosin-kinesin ATPase superfamily,cytoskeletal,2.0,742,761,742,113.99729878706256,6.635349845886232,-1.8823833271002857,0.1307277628032345,0.1469002695417789,-0.4222371967654974,0.0997304582210242,39.940175202156425,0.0336927223719676,0.2277628032345013,0.8962264150943396,0.1307277628032345,0.115372319795661,27.783363342285156,0.3005390835579515,1.725041,-1.3496084213256836,-1.6498408317565918,-1.6692917346954346,-1.6640002727508545,-1.6827595233917236,-1.458448052406311,-1.217134,-1.37304,-1.6858319799212431,,,-1.392875239534198,-2.1233430024427222,1.725041,-2.120252
5NYK_1,5NYK,A,Eukaryota,Populus tremula x Populus tremuloides,Populus tremula x Populus tremuloides,Pfam:PF00085,other,1.05,118,122,118,116.17830254237282,8.167128944396975,1.2092753917730832,0.1440677966101695,0.1779661016949152,-0.2406779661016948,0.0762711864406779,48.7865254237288,0.0508474576271186,0.1694915254237288,0.9576271186440676,0.2457627118644067,0.264241111252708,12.663208961486816,0.3050847457627119,1.743649,-1.0394113063812256,-1.6359683275222778,-1.6526013612747192,-1.5109400749206543,-1.5433099269866943,-0.5720483660697937,-1.417269,-1.721779,-1.4775412608001193,-1.564532995223999,-0.799563467502594,-0.8492273880263507,-2.8107175665386652,1.743649,-1.955444
3WP5_1,3WP5,A,Eukaryota,Neocallimastix patriciarum,Neocallimastix patriciarum,Glycosyl hydrolase 11 (cellulase G) family,hydrolase,1.32,227,227,227,108.4263171806167,5.789756202697753,-2.845069987483704,0.092511013215859,0.0969162995594713,-0.4295154185022029,0.1365638766519823,24.716784140969164,0.0308370044052863,0.3700440528634361,0.9691629955947136,-0.6343612334801763,0.2977794283372605,15.72747039794922,0.2995594713656387,2.032587,-0.9178172945976256,-1.3225977420806885,-1.3428282737731934,-1.2083736658096311,-1.2101811170578003,-0.7861859798431396,-1.186465,-1.662784,-0.9233609506212144,,,-1.1288850086901157,-3.266666093061674,2.032587,-1.620705
2OVA_1,2OVA,A,Eukaryota,Homo sapiens,Homo sapiens,Calycin superfamily,other,1.5,164,182,164,109.8854884146341,6.0791234970092765,-1.8528718640121615,0.0975609756097561,0.1097560975609756,0.0609756097560975,0.1097560975609756,35.8695731707317,0.0304878048780487,0.3231707317073171,0.9329268292682928,-0.6158536585365854,0.2729476502082094,14.77549171447754,0.298780487804878,1.868424,-1.6056421995162964,-1.5317806005477903,-1.5841951370239258,-1.5501055717468262,-1.5139720439910889,-0.8281241655349731,-1.588874,-2.140149,-1.1924045841868331,,,-1.4024395826386242,-3.096242392935404,1.868424,-1.894171
2I7T_1,2I7T,A,Eukaryota,Homo sapiens,Homo sapiens,Metallo-beta-lactamase superfamily,hydrolase,2.1,404,459,404,113.95399306930716,5.579338264465331,-16.691325341489623,0.1410891089108911,0.1485148514851485,-0.1554455445544554,0.0891089108910891,42.10222772277228,0.042079207920792,0.2301980198019801,0.9158415841584158,-0.2277227722772277,0.1633277318557544,20.796239852905273,0.2995049504950495,1.911322,-1.1420468091964722,-1.428011178970337,-1.4966427087783811,-1.421379804611206,-1.4381611347198486,-0.2947306036949157,-1.214769,-1.473763,-1.3023760200727104,,,-0.5894906072333308,-1.6821894881748918,1.911322,-1.487997
3LRE_1,3LRE,A,Eukaryota,Homo sapiens,Homo sapiens,TRAFAC class myosin-kinesin ATPase superfamily,cytoskeletal,2.2,289,355,289,111.72523183391016,8.884919929504395,5.446527111073539,0.1038062283737024,0.1591695501730103,-0.252249134948097,0.0692041522491349,38.241557093425605,0.0242214532871972,0.2664359861591695,0.9134948096885812,-0.1591695501730103,0.2454134997387592,17.99993324279785,0.301038062283737,1.74526,-1.3697127103805542,-1.654186487197876,-1.6994643211364746,-1.6763120889663696,-1.6320650577545166,-1.5067328214645386,-1.319605,-1.494148,-1.168662417718696,,,-0.901769090276276,-2.2279720108401815,1.74526,-1.757761
4GT4_1,4GT4,A,Eukaryota,Homo sapiens,Homo sapiens,Protein kinase superfamily,transferase,2.406,274,308,274,115.22311569343078,6.898116493225097,-0.3018312521952566,0.1204379562043795,0.156934306569343,-0.1295620437956204,0.1131386861313868,41.27919708029196,0.0474452554744525,0.2080291970802919,0.9306569343065694,-0.0474452554744525,0.129609647730879,18.02503776550293,0.2992700729927007,1.79419,-1.161201000213623,-1.6136341094970703,-1.669134259223938,-1.516981601715088,-1.495406150817871,-0.8082627654075623,-1.483083,-1.65697,-1.2296103595817176,,,-0.7699774303575502,-2.129254863209968,1.79419,-1.578506
8R4V_1,8R4V,A,Eukaryota,Homo sapiens,Homo sapiens,Protein kinase superfamily,transferase,1.9,318,328,318,115.1263650943398,8.15500888824463,2.70489263056595,0.1289308176100629,0.1698113207547169,-0.1943396226415094,0.0911949685534591,40.61352201257862,0.0345911949685534,0.2044025157232704,0.9245283018867924,0.220125786163522,0.1078746990650019,19.68811416625977,0.3018867924528302,1.993724,-0.6497064828872681,-1.497183084487915,-1.5257364511489868,-1.4329510927200315,-1.4499834775924685,-1.0460232496261597,-1.109471,-1.229987,,,,-0.3163631127315497,-1.9685881992556016,1.993724,-1.568066
